,Date,Adj_Cost
0,2014-05-04,282739.0879820981
1,2014-05-05,1071.0955980058234
2,2014-05-15,3447.346531631758
3,2014-05-18,3971.602202298869
4,2014-05-19,24189.23577335623
5,2014-05-22,2927.9291354814204
6,2014-05-23,3245.1803742161537
7,2014-05-24,777.6625935024981
8,2014-05-26,5243.649964083532
9,2014-05-27,274.7843393208549
10,2014-05-29,14721.910961811955
11,2014-05-30,7138.542516323198
12,2014-05-31,0.0
13,2014-06-01,562.7434845087182
14,2014-06-02,1015.3442933213106
15,2014-06-03,222.74256292741399
16,2014-06-04,312563.6053048291
17,2014-06-05,17489.34067879676
18,2014-06-06,1601.081405638499
19,2014-06-08,145643.21443939107
20,2014-06-09,20429.667913471363
21,2014-06-10,1032.5949690415214
22,2014-06-12,2280.5444700307535
23,2014-06-13,6527.059023245674
24,2014-06-15,3479.146962283503
25,2014-06-16,51887.716380958635
26,2014-06-19,16446.31178100432
27,2014-06-20,206.2209595750195
28,2014-06-21,1152.235389531171
29,2014-06-22,4467.614586433372
30,2014-06-23,7538.9794069263
31,2014-06-26,1547.4758776945362
32,2014-06-27,6324.622051213579
33,2014-06-28,5722.663252350554
34,2014-06-30,11770.570789688973
35,2014-07-03,16679.48012430068
36,2014-07-04,407795.23497526825
37,2014-07-05,849.1696663802257
38,2014-07-06,9166.789579581757
39,2014-07-07,2368.79416237982
40,2014-07-10,2574.725171957785
41,2014-07-11,21629.377791891435
42,2014-07-12,2427.8552724443643
43,2014-07-14,50964.337246730116
44,2014-07-18,14086.802971348621
45,2014-07-19,292.02090174990644
46,2014-07-20,771.1370735039987
47,2014-07-21,6164.251198588263
48,2014-07-25,130.7354702223807
49,2014-07-26,8644.399266168402
50,2014-07-27,2082.6471606359573
51,2014-07-28,10699.659114457492
52,2014-07-31,6267.411230612044
53,2014-08-02,1375.0388166245293
54,2014-08-03,5702.49172840013
55,2014-08-04,282201.81095151865
56,2014-08-05,2887.2559462943022
57,2014-08-07,3350.195838398691
58,2014-08-08,19840.752144166432
59,2014-08-09,4262.076534602305
60,2014-08-11,6457.775804628138
61,2014-08-14,0.0
62,2014-08-15,12084.135199297705
63,2014-08-17,57543.73823267823
64,2014-08-21,4196.805505592118
65,2014-08-23,5071.138866427468
66,2014-08-28,26601.656982753597
67,2014-09-01,4183.964430172211
68,2014-09-03,14849.176691172737
69,2014-09-04,330451.97428089235
70,2014-09-05,3974.383967184465
71,2014-09-08,21152.953536673012
72,2014-09-09,3215.0503803595293
73,2014-09-11,1800.3751125993076
74,2014-09-12,11567.893238305078
75,2014-09-13,9229.8988837722
76,2014-09-14,83909.08887496646
77,2014-09-15,27969.636320896818
78,2014-09-16,10290.28773926576
79,2014-09-18,4854.264068583671
80,2014-09-19,758.7366920856226
81,2014-09-21,17.081567999999923
82,2014-09-22,7809.559860776113
83,2014-09-23,277.151814
84,2014-09-25,2568.156985646855
85,2014-09-28,23535.732187601225
86,2014-09-29,4425.335741086345
87,2014-09-30,1662.645973383382
88,2014-10-02,5569.251266123048
89,2014-10-03,2860.1372166425836
90,2014-10-04,285186.36757758685
91,2014-10-05,67074.63118341813
92,2014-10-06,1664.2058765845854
93,2014-10-07,702.1058892512266
94,2014-10-09,21676.363168534015
95,2014-10-10,36804.753103136274
96,2014-10-11,482.8054488478412
97,2014-10-13,9216.377674964988
98,2014-10-14,7029.910667293068
99,2014-10-17,7091.455892448716
100,2014-10-18,4658.413650551989
101,2014-10-19,3892.815328761246
102,2014-10-20,4671.345027128367
103,2014-10-23,5076.66389230931
104,2014-10-24,1568.8601003581332
105,2014-10-25,1118.7225899999999
106,2014-10-27,9062.782426918739
107,2014-10-28,8638.96705068495
108,2014-10-30,12593.885697218706
109,2014-11-01,2634.5319835135247
110,2014-11-02,4205.141783857871
111,2014-11-03,9503.476327502965
112,2014-11-04,207161.9021973176
113,2014-11-06,9391.566017301982
114,2014-11-07,10456.013982832748
115,2014-11-08,46632.98248801711
116,2014-11-09,139.92431594016765
117,2014-11-10,5846.299671971696
118,2014-11-11,21714.611553284918
119,2014-11-13,79220.29083342155
120,2014-11-15,12412.638074337196
121,2014-11-16,616.9389144570478
122,2014-11-17,13047.241335808121
123,2014-11-18,1046.4557845478948
124,2014-11-20,1549.4641963592635
125,2014-11-21,0.0
126,2014-11-22,988.9156810436635
127,2014-11-23,382.4883764093365
128,2014-11-24,1024.8029284610857
129,2014-11-27,16475.73777966686
130,2014-11-28,427.96889952110456
131,2014-11-30,54216.854370822
132,2014-12-01,1610.1285430156165
133,2014-12-03,5633.432254920122
134,2014-12-04,123291.92430156792
135,2014-12-05,1944.4637229854634
136,2014-12-07,10083.435301329235
137,2014-12-08,1825.1491897513206
138,2014-12-09,327.30698336315737
139,2014-12-13,4062.8277611685835
140,2014-12-14,4281.1444541870915
141,2014-12-15,49.319999999993996
142,2014-12-18,120999.77257174363
143,2014-12-19,6500.321700163549
144,2014-12-20,3318.385131433779
145,2014-12-22,6263.530148138819
146,2014-12-26,614.6876312211394
147,2014-12-31,61020.0
148,2015-01-02,480.5555878555208
149,2015-01-05,337508.991778976
150,2015-01-08,6252.8706
151,2015-01-10,0.0
152,2015-01-11,6222.817782436005
153,2015-01-12,9396.60707057346
154,2015-01-13,52845.636531854485
155,2015-01-15,2197.7624819321513
156,2015-01-16,2800.8975807245283
157,2015-01-17,733.3341038223602
158,2015-01-18,25428.007282460487
159,2015-01-19,26680.87308023478
160,2015-01-20,1450.6408591460104
161,2015-01-22,2964.585080822338
162,2015-01-23,0.0
163,2015-01-25,2781.6291245815164
